Game,Scope,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May
Trickal RE:VIVE,COMBINED,"$6,300,000 ",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Etheria Restart,COMBINED,"$8,200,000 ",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Brown Dust 2,GLOBAL,N.A.,N.A.,"$6,000,000 ",N.A.,N.A.,N.A.,N.A.,N.A.
Seven Knights Re:BIRTH,GLOBAL,"$14,000,000 ","$8,000,000 ","$6,000,000 ",N.A.,N.A.,N.A.,N.A.,N.A.
Jujutsu Kaisen Phantom Parade,COMBINED,N.A.,"$6,800,000 ","$9,500,000 ","$7,500,000 ",N.A.,N.A.,N.A.,N.A.
Shadowverse: Worlds Beyond,COMBINED,N.A.,N.A.,N.A.,"$6,275,000 ",N.A.,N.A.,N.A.,N.A.
Light and Night,COMBINED,"$5,630,000 ","$8,470,000 ",N.A.,N.A.,"$8,450,000 ",N.A.,N.A.,N.A.
Blue Archive,COMBINED,N.A.,N.A.,"$5,970,000 ","$11,295,000 ","$7,861,500 ",N.A.,N.A.,N.A.
BLEACH: Soul Resonance,COMBINED,N.A.,"$8,300,000 ","$10,500,000 ",N.A.,"$5,300,000 ",N.A.,N.A.,N.A.
Disney Twisted-Wonderland,COMBINED,N.A.,N.A.,N.A.,N.A.,N.A.,"$8,400,000 ",N.A.,N.A.
LifeMakeOver,COMBINED,"$6,365,000 ",N.A.,"$6,236,000 ",N.A.,"$6,032,000 ","$6,041,000 ",N.A.,N.A.
Beyond the World,CN,N.A.,N.A.,N.A.,N.A.,"$5,500,000 ","$5,500,000 ",N.A.,N.A.
Pokemon Masters EX,GLOBAL,N.A.,N.A.,N.A.,N.A.,N.A.,"$5,000,000 ",N.A.,N.A.
Arknights: Endfield,COMBINED,N.A.,N.A.,N.A.,"$28,550,000 ","$26,080,000 ","$22,050,000 ","$17,280,000 ",N.A.
Dragon Traveler,COMBINED,N.A.,N.A.,N.A.,"$7,620,000 ","$8,895,000 ","$7,160,000 ","$6,160,000 ",N.A.
Mahjong Soul,COMBINED,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,"$5,350,000 ",N.A.
CookieRun: Kingdom,GLOBAL,"$9,000,000 ",N.A.,N.A.,"$7,000,000 ",N.A.,N.A.,"$5,000,000 ",N.A.
Marvel Contest of Champions,GLOBAL,N.A.,"$8,000,000 ","$13,000,000 ","$6,000,000 ",N.A.,N.A.,"$5,000,000 ",N.A.
Watcher of Realms,COMBINED,N.A.,"$5,575,000 ",N.A.,N.A.,N.A.,N.A.,"$4,665,000 ",N.A.
ENSEMBLE STARS,COMBINED,N.A.,N.A.,N.A.,N.A.,"$5,595,000 ","$5,810,000 ","$4,660,000 ",N.A.
Love and Deepspace,COMBINED,"$57,750,000 ","$30,440,000 ","$84,910,000 ","$35,620,000 ","$32,025,000 ","$40,725,000 ","$36,325,000 ","$48,975,000 "
Genshin Impact,COMBINED,"$56,725,000 ","$20,970,000 ","$40,825,000 ","$66,040,000 ","$55,245,000 ","$40,110,000 ","$40,105,000 ","$41,655,000 "
Honkai: Star Rail,COMBINED,"$23,450,000 ","$81,380,000 ","$27,895,000 ","$8,037,500 ","$21,135,000 ","$31,730,000 ","$58,100,000 ","$38,765,000 "
Wuthering Waves,COMBINED,"$16,600,000 ","$18,875,000 ","$23,175,000 ","$19,150,000 ","$46,000,000 ","$11,400,000 ","$14,700,000 ","$31,750,000 "
Arknights,COMBINED,"$26,800,000 ","$41,750,000 ","$10,160,000 ","$16,950,000 ","$24,300,000 ","$9,470,000 ","$21,350,000 ","$30,350,000 "
GODDESS OF VICTORY: NIKKE,COMBINED,"$13,051,000 ","$24,400,000 ","$17,000,000 ","$19,650,000 ","$13,350,000 ","$11,900,000 ","$23,125,000 ","$29,500,000 "
Naturo Mobile,CN,"$27,500,000 ","$19,250,000 ","$19,250,000 ","$44,000,000 ","$38,500,000 ","$22,000,000 ","$24,750,000 ","$27,500,000 "
Pokemon TCG Pocket,GLOBAL,"$49,000,000 ","$41,000,000 ","$37,000,000 ","$35,000,000 ","$27,000,000 ","$27,000,000 ","$22,000,000 ","$25,000,000 "
Neverness to Everness,COMBINED,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,"$6,740,000 ","$23,575,000 "
Fate/Grand Order,COMBINED,"$24,980,000 ","$13,330,000 ","$28,370,000 ","$32,700,000 ","$13,310,000 ","$12,775,000 ","$10,985,000 ","$15,620,000 "
Monster Strike,COMBINED,"$21,800,000 ","$17,500,000 ","$23,400,000 ","$27,600,000 ","$14,400,000 ","$12,300,000 ","$19,500,000 ","$14,500,000 "
Dragon Ball Legends,COMBINED,"$7,100,000 ","$7,300,000 ","$17,700,000 ","$13,400,000 ","$10,400,000 ","$7,300,000 ","$6,300,000 ","$13,500,000 "
Gauken iDOLM@STER,JP,"$6,000,000 ","$9,000,000 ","$8,000,000 ","$6,000,000 ",N.A.,N.A.,N.A.,"$12,000,000 "
Uma Musume: Pretty Derby,COMBINED,"$16,750,000 ","$28,330,000 ","$22,350,000 ","$15,925,000 ","$18,025,000 ","$34,155,000 ","$9,320,000 ","$11,085,000 "
The Battle Cats,COMBINED,"$6,700,000 ","$7,200,000 ","$9,800,000 ","$10,000,000 ","$11,500,000 ","$6,900,000 ","$6,700,000 ","$10,900,000 "
Puzzle & Dragons,COMBINED,"$6,440,000 ","$9,480,000 ","$12,410,000 ","$11,630,000 ","$15,530,000 ","$12,520,000 ","$11,460,000 ","$10,400,000 "
SD Gundam G Generation ETERNAL,COMBINED,"$29,000,000 ","$17,000,000 ","$14,000,000 ","$19,000,000 ","$12,000,000 ","$8,000,000 ","$28,000,000 ","$10,000,000 "
Zenless Zone Zero,COMBINED,"$12,915,000 ","$10,890,000 ","$27,550,000 ","$23,245,000 ","$13,350,000 ","$16,440,000 ","$7,167,000 ","$9,370,000 "
DRAGON BALL Z DOKKAN BATTLE,COMBINED,N.A.,"$12,000,000 ","$8,000,000 ","$20,000,000 ","$35,000,000 ","$15,000,000 ","$8,000,000 ","$8,900,000 "
Onmyoji,COMBINED,"$5,842,750 ","$5,822,750 ","$5,802,750 ",N.A.,"$8,572,750 ","$5,912,750 ","$5,802,750 ","$8,492,750 "
The Seven Deadly Sins: Origin,GLOBAL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,"$5,000,000 ","$8,000,000 "
ONE PIECE TREASURE CRUISE,COMBINED,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,"$7,800,000 "
ONE PIECE Bounty Rush,COMBINED,"$8,600,000 ","$6,200,000 ","$7,400,000 ","$10,500,000 ","$10,000,000 ","$9,500,000 ",N.A.,"$7,300,000 "
DRAGON QUEST Smash/Grow,COMBINED,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,"$7,000,000 "
Summoners War,GLOBAL,"$6,000,000 ","$6,000,000 ","$8,000,000 ","$6,000,000 ","$8,000,000 ","$6,000,000 ","$8,000,000 ","$7,000,000 "
Reverse: 1999,COMBINED,"$7,190,000 ","$6,400,000 ",N.A.,"$7,510,000 ",N.A.,N.A.,N.A.,"$6,940,000 "
Chaos Zero Nightmare,GLOBAL,"$6,000,000 ","$10,000,000 ","$11,000,000 ",N.A.,N.A.,N.A.,N.A.,"$6,650,000 "
Infinity Nikki,COMBINED,"$6,270,000 ","$9,250,000 ",N.A.,"$9,430,000 ","$6,290,000 ","$9,550,000 ","$6,490,000 ","$6,140,000 "
HATSUNE MIKU: COLORFUL STAGE!,COMBINED,"$7,850,000 ",N.A.,N.A.,"$5,875,000 ","$5,850,000 ","$6,400,000 ","$7,050,000 ","$5,850,000 "
Azur Lane,COMBINED,N.A.,N.A.,"$9,710,000 ",N.A.,N.A.,"$4,581,000 ",N.A.,"$5,654,000 "
